name,T1,Period,Perioderror,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,relteff,reltefferror,colat,colaterror,long,longerror,radius,radiuserror,r1,r2,R^2,sma,smaerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 257625332,6621,0.68078,0.00019,80.39403,0.18082,0.21728,0.00119,0.40716,0.01529,0.97546,0.00508,0.8008,0.08305,126.1975,11.89146,-174.06285,1.50596,17.30343,2.99814,0.53505,0.27825,0.9995,4.24173,0.11471,1.96827,0.05354,0.42766,0.01163,2.32311,0.02897,1.20812,0.01506,8.50357,0.21451,2.12962,0.05757
TIC 289166536,6467,0.46892,9.00E-05,84.27246,0.39099,0.24164,0.00197,0.48244,0.01539,1.01382,0.00218,0.85882,0.06259,124.81576,18.11083,-294.12513,3.81775,15.23221,4.1511,0.53092,0.29152,0.9888,3.09412,0.04649,1.52076,0.03101,0.36748,0.00749,1.6454,0.01972,0.90346,0.01083,4.1736,0.00941,1.44342,0.05457
TIC 332910986,7379,0.64297,0.00022,79.9102,0.2392,0.18127,0.00087,0.22939,0.01252,0.93276,0.0029,0.81159,0.06611,24.17021,11.10773,-195.45713,1.89289,19.83837,2.74534,0.54112,0.25486,0.9902,4.03806,0.06907,1.76198,0.11674,0.31939,0.02116,2.20709,0.02617,1.03951,0.01233,12.83554,0.3221,2.07871,0.01092
TIC 426146826,6277,0.3969,0.00027,68.61128,0.29359,0.08999,0.00195,0.14051,0.02574,1.01386,0.00353,0.77346,0.11739,153.92348,16.61335,-71.75806,141.28067,11.78522,7.53145,0.59211,0.2038,0.9959,2.73694,0.06709,1.66383,0.06768,0.14973,0.00609,1.69353,0.04021,0.5829,0.01384,3.94914,0.13518,0.47783,0.011
TIC 456797644,7019,0.81914,0.00016,82.47949,0.86198,0.19264,0.00395,0.72822,0.05712,0.99369,0.00595,0.83973,0.06513,41.81124,31.99603,-182.48527,8.75648,13.06459,3.82444,0.55881,0.28585,0.9985,5.08617,0.06973,2.07991,0.05094,0.40067,0.00981,2.71073,0.02532,1.38663,0.01295,15.60791,0.2426,4.00902,0.05734
TIC 290034099,7810,0.59182,0.00055,82.24794,0.26513,0.31908,0.00276,0.40228,0.02283,0.98035,0.00553,0.77869,0.07716,75.44518,33.26818,-243.71058,5.68472,15.9784,3.61833,0.50565,0.3108,0.9981,3.92308,0.06354,1.61692,0.06271,0.51593,0.02001,1.97464,0.00551,1.21372,0.00339,12.85907,0.03704,4.51916,0.0071
TIC 29287800,6125,0.37654,8.00E-05,80.54337,0.29902,0.25364,0.00357,0.28711,0.01344,1.03319,0.00387,0.81223,0.05522,45.51883,17.22597,-301.64783,3.40171,16.96949,3.13673,0.51709,0.28411,0.9989,2.60084,0.03179,1.43645,0.03693,0.36434,0.00937,1.38149,0.009,0.75904,0.00495,2.49164,0.02039,0.83352,0.00354
TIC 293565743,6417,0.66604,0.00014,75.05947,0.10279,0.10002,0.00172,0.21002,0.04902,0.92005,0.00831,0.91085,0.06806,95.84963,16.05629,-335.42066,176.70744,8.49911,6.41651,0.58618,0.21283,0.9953,4.30173,0.10711,2.21283,0.04773,0.22133,0.00477,2.58228,0.05535,0.93757,0.0201,10.24784,0.28829,0.90322,0.04182
TIC 294273900,6028,0.47229,0.00011,82.30962,4.07314,0.21352,0.00399,0.31492,0.06713,1.04704,0.00468,0.90071,0.04775,16.14648,32.32841,-2.38463,3.13052,25.82123,4.64109,0.53202,0.27182,0.9993,3.18966,0.08702,1.82433,0.08816,0.38953,0.01882,1.67172,0.05041,0.85412,0.02576,3.08674,0.07729,1.03233,0.03605
TIC 296657504,5769,0.44965,9.00E-05,85.25564,1.09764,0.27112,0.00295,0.18263,0.0577,1.02959,0.01139,0.8805,0.03598,154.65119,27.25117,-23.33771,23.80632,34.07722,9.00388,0.50625,0.28333,0.9997,3.02471,0.08913,1.48305,0.1204,0.40209,0.03264,1.56179,0.04332,0.87408,0.02425,2.59547,0.12906,0.79384,0.02959
TIC 29777922,7120,0.53047,0.00047,80.02979,1.44755,0.095,0.00377,0.25997,0.09088,0.91772,0.0114,0.91523,0.10324,135.24702,40.93257,-62.24547,163.52846,15.66067,9.01482,0.59135,0.21127,0.997,3.45766,0.05655,1.87,0.06115,0.17765,0.00581,1.9747,0.04318,0.70549,0.01543,9.63611,0.13895,0.77662,0.02643
TIC 29848012,5535,0.34912,8.00E-05,85.1509,0.43992,0.32492,0.00396,0.09408,0.01331,1.03595,0.00345,0.69596,0.08142,65.85986,13.43881,-22.65909,7.8093,9.56728,1.44295,0.48607,0.2923,0.9958,2.43171,0.03352,1.15345,0.04187,0.37478,0.01361,1.19168,0.02833,0.71662,0.01703,1.30029,0.02493,0.53394,0.01348
TIC 311235572,7195,0.61897,0.00012,79.64284,0.30777,0.26969,0.00338,0.6447,0.02702,0.99227,0.00701,0.93553,0.0417,141.31659,38.76931,-154.96779,5.67422,41.63386,10.92557,0.53206,0.31159,0.9993,3.94561,0.04973,1.68539,0.05351,0.45453,0.01443,2.15615,0.03875,1.2627,0.0227,11.96286,0.88437,3.82759,0.07286
TIC 314459000,6151,0.85901,0.0004,80.30878,0.1483,0.18589,0.00078,0.49432,0.02117,0.9911,0.00244,0.85779,0.04723,28.55348,12.21183,-174.80604,1.40137,20.75219,4.319,0.55058,0.27011,0.9852,5.42869,0.09324,2.4326,0.03032,0.4522,0.00564,2.92729,0.02316,1.4361,0.01136,11.04666,0.19907,2.51287,0.0244
TIC 315937374,6656,0.60626,0.00015,78.78381,0.58952,0.13551,0.00223,0.58882,0.04821,0.94143,0.00517,0.93136,0.02367,111.31485,19.47095,-290.13809,2.11093,34.17919,10.84884,0.57663,0.24935,0.998,3.87652,0.07251,1.665,0.11682,0.22562,0.01583,2.37408,0.04503,1.02662,0.01947,10.49422,0.13966,1.53562,0.05495
TIC 316250867,5006,0.68495,0.0001,77.04104,0.77635,0.19164,0.00315,0.27173,0.03795,0.9493,0.00615,0.89003,0.03955,57.0112,21.60035,-268.82315,6.41381,19.19735,2.97425,0.53853,0.26115,0.9957,4.38498,0.07023,1.99577,0.05091,0.38247,0.00976,2.34745,0.0304,1.13835,0.01474,2.94703,0.09225,0.62787,0.01546
TIC 316333039,7051,0.82532,0.00015,72.18131,0.1179,0.1163,0.00068,0.54028,0.01606,0.97844,0.00277,0.67388,0.09074,52.0697,15.15803,-191.68889,2.57482,6.01951,0.89358,0.58545,0.23568,0.9897,5.17276,0.07077,2.4652,0.03252,0.2867,0.00378,3.05094,0.0472,1.22819,0.019,21.66878,0.85064,3.35489,0.20039
TIC 316769246,5857,0.34768,8.00E-05,77.84335,0.36512,0.14338,0.00252,0.62557,0.02532,1.06195,0.00502,0.92851,0.01934,91.64216,8.27344,-315.25916,2.73894,23.72206,2.38095,0.57415,0.2555,0.998,2.42456,0.05103,1.44794,0.05816,0.20761,0.00834,1.41224,0.02275,0.62846,0.01013,2.19022,0.04615,0.53639,0.00694
TIC 317470793,5673,0.41731,0.00022,86.62177,0.85963,0.3323,0.00857,0.06298,0.0451,0.99055,0.01927,0.72985,0.07894,25.76077,15.6252,-320.72412,154.07583,25.84863,15.3748,0.48233,0.2921,0.9975,2.82224,0.02896,1.35817,0.01764,0.45132,0.00586,1.3639,0.00791,0.82598,0.00479,1.69901,0.01117,0.61454,0.00941
TIC 320506144,6229,0.39031,9.00E-05,84.83582,3.16315,0.09728,0.00552,0.55186,0.08646,1.01172,0.02681,0.78725,0.15152,175.46324,60.29249,-260.91078,42.95075,41.47023,8.54195,0.59795,0.22321,0.9979,2.64803,0.04799,1.40047,0.04824,0.13624,0.00469,1.64127,0.01924,0.61267,0.00718,3.60778,0.04266,0.51208,0.01061
TIC 323442776,6116,1.15017,0.00018,79.18529,0.11716,0.28672,0.0017,0.2825,0.00974,0.98396,0.00305,0.86249,0.06315,162.12549,5.76143,-221.29933,9.02188,32.89846,6.60241,0.50707,0.29392,0.9982,6.96777,0.13597,2.40971,0.07514,0.69091,0.02154,3.61023,0.02945,2.09265,0.01707,16.61874,0.22209,5.28277,0.05394
TIC 330453808,6087,0.42193,0.00012,80.45527,0.74204,0.1554,0.00444,0.65085,0.0291,0.99259,0.01248,0.94024,0.05874,11.18667,10.49798,-314.47971,83.51463,27.83872,7.08434,0.5697,0.26326,0.9979,2.8731,0.06702,1.74098,0.03583,0.27055,0.00557,1.61213,0.02238,0.74497,0.01034,2.96759,0.07564,0.66528,0.01956
TIC 258776281,6485,0.52164,8.00E-05,81.5465,0.50716,0.1543,0.00167,0.60014,0.03189,1.00277,0.00254,0.82286,0.15233,62.09359,64.34326,-212.73794,148.3671,3.28454,3.42143,0.56815,0.26021,0.9855,3.46627,0.03827,1.77359,0.07445,0.27366,0.01149,1.97126,0.00505,0.90283,0.00231,6.09955,0.03226,1.27657,0.00403
TIC 260411041,6952,0.40305,0.00019,80.31924,0.61907,0.12087,0.00198,0.6345,0.04421,1.00096,0.00573,0.75159,0.11469,136.46152,49.76486,-330.67643,20.18607,7.8696,5.46592,0.58597,0.24248,0.9994,2.80823,0.08118,1.55695,0.08915,0.18819,0.01078,1.73955,0.08868,0.71984,0.0367,6.60608,0.33812,1.06338,0.09836
TIC 261089147,7620,0.46171,9.00E-05,79.637,0.8681,0.23175,0.00775,0.38967,0.02544,0.95725,0.00808,0.82335,0.05469,63.90874,24.15953,-256.21971,128.1402,17.06806,4.81153,0.52931,0.28259,0.9991,3.1058,0.07579,1.58107,0.12059,0.36641,0.02795,1.71254,0.03574,0.9143,0.01908,8.56757,0.39104,2.10783,0.0591
