name,T1,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,R^2
TIC 29287800,6125,81.802,1.703,0.269,0.021,0.31,0.025,1.032,0.004,0.038,0.038,0.999
TIC 336561759,5362,88.496,1.444,0.166,0.003,0.517,0.028,1.041,0.005,0.011,0.011,0.999
TIC 393943031,6425,87.911,1.917,0.195,0.007,0.521,0.034,1.003,0.002,0.161,0.022,0.999
TIC 43712632,6137,88.327,1.414,0.274,0.012,0.143,0.177,0.883,0.023,0.016,0.017,0.998
TIC 293565743,6417,83.404,3.003,0.178,0.02,0.547,0.077,0.942,0.006,0.381,0.049,0.996
TIC 294273900,6028,87.547,1.162,0.247,0.005,0.345,0.02,1.048,0.003,0.093,0.012,0.999
TIC 296657504,5769,88.206,1.644,0.298,0.008,0.229,0.022,1.003,0.002,0.02,0.013,0.999
TIC 29777922,7120,85.692,3.077,0.119,0.012,0.375,0.131,0.912,0.009,0.142,0.071,0.997
TIC 29848012,5535,85.685,4.162,0.341,0.051,0.108,0.079,1.031,0.019,0.026,0.022,0.995
TIC 311235572,7195,83.486,1.326,0.335,0.022,0.738,0.046,0.983,0.008,0.129,0.039,1
TIC 314459000,6151,83.895,1.165,0.222,0.009,0.514,0.022,0.981,0.002,0.111,0.027,0.985
TIC 315937374,6656,87.564,1.636,0.197,0.009,0.8,0.074,0.933,0.022,0.239,0.029,0.998
TIC 316250867,5006,83.709,3.218,0.288,0.036,0.494,0.084,0.956,0.005,0.254,0.056,0.997
TIC 316333039,7051,79.218,0.663,0.211,0.009,0.858,0.045,0.973,0.005,0.35,0.024,0.99
TIC 316769246,5857,81.539,1.62,0.178,0.013,0.7,0.046,1.055,0.006,0.132,0.048,0.998
TIC 317470793,5673,88.661,0.747,0.335,0.005,0.072,0.03,0.988,0.008,0.003,0.004,0.997
TIC 320506144,6229,85.569,2.168,0.109,0.007,0.761,0.1,1.032,0.013,0.111,0.056,0.998
TIC 323442776,6116,85.351,1.292,0.403,0.017,0.488,0.024,0.993,0.003,0.204,0.021,0.998
TIC 330453808,6087,87.46,1.786,0.192,0.007,0.697,0.078,0.984,0.003,0.118,0.031,0.997
TIC 332910986,7379,80.562,0.795,0.191,0.008,0.192,0.017,0.916,0.004,0.037,0.028,0.99
TIC 43864479,6097,87.868,1.554,0.206,0.006,0.558,0.035,1.004,0.002,0.102,0.019,0.998
TIC 439596199,5810,81.797,3.746,0.238,0.04,0.624,0.118,0.929,0.008,0.445,0.064,0.998
TIC 441200647,5889,87.693,2.204,0.13,0.004,0.338,0.064,0.977,0.007,0.075,0.016,0.998
TIC 445829772,5807,86.533,2.229,0.268,0.003,0.304,0.073,1.023,0.003,0.003,0.007,0.996
TIC 450637853,7039,85.358,1.603,0.191,0.007,0.196,0.025,0.93,0.003,0.145,0.022,0.977
TIC 452819172,7403,78.786,1.338,0.232,0.021,0.42,0.065,0.951,0.006,0.295,0.046,0.995
TIC 453097744,5684,86.906,2.566,0.295,0.02,0.34,0.134,0.945,0.014,0.3,0.043,0.973
TIC 456797644,7019,85.917,1.924,0.219,0.01,0.766,0.04,0.988,0.008,0.081,0.028,0.999
TIC 458490358,6529,82.725,2.328,0.218,0.022,0.598,0.082,1.026,0.008,0.145,0.064,0.994
TIC 47751440,6691,88.369,1.75,0.119,0.003,0.208,0.056,0.836,0.004,0.04,0.022,0.993
TIC 49214115,6904,83.636,1.197,0.194,0.01,0.774,0.087,1.01,0.01,0.137,0.044,0.989
TIC 53603189,6415,84.068,0.903,0.147,0.004,0.751,0.027,1.05,0.01,0.067,0.021,0.999
TIC 55007847,7596,85.198,2.206,0.128,0.008,0.785,0.095,0.994,0.005,0.304,0.04,0.997
TIC 55753802,6610,88.328,2.378,0.287,0.011,0.697,0.045,1.005,0.004,0.224,0.022,1
TIC 56001210,6177,87.358,1.473,0.236,0.006,0.281,0.023,1.03,0.003,0.036,0.018,1
TIC 5674169,5874,85.141,1.213,0.207,0.007,0.508,0.024,1.03,0.003,0.029,0.02,0.982
TIC 57297550,7038,86.512,1.585,0.079,0.003,0.959,0.054,1.054,0.035,0.051,0.03,0.997
TIC 627436,7664,85.728,1.59,0.263,0.01,0.621,0.04,0.98,0.006,0.047,0.023,0.999
TIC 63307143,7148,81.318,1.63,0.183,0.014,0.357,0.03,0.982,0.003,0.119,0.049,0.982
TIC 63597006,6613,87.148,1.149,0.217,0.005,0.311,0.018,0.972,0.004,0.264,0.01,0.998
TIC 66473439,6694,83.353,2.833,0.162,0.017,0.511,0.072,0.924,0.009,0.355,0.052,0.99
TIC 671564,5607,83.35,1.635,0.172,0.01,0.744,0.039,1.064,0.004,0.058,0.036,0.995
TIC 69838619,6984,85.714,2.526,0.117,0.006,0.879,0.096,1.011,0.007,0.077,0.04,0.999
TIC 76305215,6469,85.609,1.539,0.278,0.01,0.131,0.016,1.007,0.003,0.032,0.023,0.988
TIC 77178193,6787,85.013,3.108,0.092,0.006,0.516,0.102,0.971,0.011,0.109,0.038,0.997
TIC 87751538,7165,81.309,1.582,0.183,0.015,0.804,0.054,0.95,0.007,0.319,0.043,0.979
TIC 89428764,6541,83.13,3.147,0.202,0.022,0.527,0.062,1,0.002,0.255,0.058,0.999
TIC 8989778,8165,77.513,1.206,0.216,0.019,0.445,0.06,0.914,0.015,0.1,0.058,0.988
TIC 93053299,5954,85.077,3.058,0.196,0.016,0.765,0.069,1.026,0.005,0.277,0.043,0.997
TIC 97328396,5935,88.402,1.132,0.307,0.004,0.519,0.018,1.015,0.003,0.027,0.008,0.993
